hanzi,trad,simp,pinyin,toneless,tone,zhuyin
蟔,蟔,蟔,mò,mo,4,ㄇㄛ
㥰,㥰,㥰,㥰,㥰,,
糏,糏,糏,xiè,xie,4,ㄒㄧㄝ
蝩,蝩,蝩,chóng,chong,2,ㄔㄨㄥ
読,読,読,dú,du,2,ㄉㄨ
羯,羯,羯,jié,jie,2,ㄐㄧㄝ
䴽,䴽,䴽,bài,bai,4,ㄅㄞ
顐,顐,顐,hún,hun,2,ㄏㄨㄣ
踒,踒,踒,wō,wo,1,ㄨㄛ
惰,惰,惰,duò,duo,4,ㄉㄨㄛ
肪,肪,肪,fáng,fang,2,ㄈㄤ
鈓,鈓,鈓,rén,ren,2,ㄖㄣ
偔,偔,偔,è,e,4,ㄜ
䮦,䮦,䮦,䮦,䮦,,
椃,椃,椃,háo,hao,2,ㄏㄠ
䱠,䱠,䱠,zhàn,zhan,4,ㄓㄢ
冒,冒,冒,mào,mao,4,ㄇㄠ
繡,繡,绣,xìu,xiu,4,ㄒㄧㄡ
㹟,㹟,㹟,jué,jue,2,ㄐㄩㄝ
欠,欠,欠,qiàn,qian,4,ㄑㄧㄢ
道,道,道,dào,dao,4,ㄉㄠ
抖,抖,抖,dǒu,dou,3,ㄉㄡ
庈,庈,庈,qín,qin,2,ㄑㄧㄣ
圅,圅,圅,hán,han,2,ㄏㄢ
挨,挨,挨,āi,ai,1,ㄞ
橃,橃,橃,fā,fa,1,ㄈㄚ
嶕,嶕,嶕,jiāo,jiao,1,ㄐㄧㄠ
倫,倫,伦,lún,lun,2,ㄌㄨㄣ
娡,娡,娡,zhì,zhi,4,ㄓ
胆,膽,胆,dǎn,dan,3,ㄉㄢ
蠯,蠯,蠯,bèng,beng,4,ㄅㄥ
溃,潰,溃,kùi,kui,4,ㄎㄨㄟ
晐,晐,晐,gāi,gai,1,ㄍㄞ
撣,撣,掸,dǎn,dan,3,ㄉㄢ
晝,晝,昼,zhòu,zhou,4,ㄓㄡ
轜,轜,轜,ér,er,2,ㄦ
㪺,㪺,㪺,㪺,㪺,,
贽,贄,贽,zhì,zhi,4,ㄓ
㟸,㟸,㟸,㟸,㟸,,
眏,眏,眏,yāng,yang,1,ㄧㄤ
龸,龸,龸,龸,龸,,
赨,赨,赨,xióng,xiong,2,ㄒㄩㄥ
親,親,亲,qīn,qin,1,ㄑㄧㄣ
